kode_provinsi,nama_provinsi,indikator_upaya_kesehatan,tahun,nilai
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2000,0
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2001,0
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2002,2175894
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2003,1090813
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2004,1397945
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2005,4127927
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2006,3955602
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2007,3256096
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2008,0
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2009,0
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2010,0
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2011,0
11,"Prov. Nanggroe Aceh Darussalam","Jumlah Peserta JPK",2012,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2000,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2001,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2002,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2003,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2004,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2005,1.1
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2006,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2007,10.7
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2008,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2009,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2010,0
11,"Prov. Nanggroe Aceh Darussalam","Persen Balita Gizi Buruk",2011,0
