Column1;GLOBALEVENTID;SQLDATE;Year;SOURCEURL;ARTICLEURL;Status
381;724739939;20180123;2018;http://www.bankingtech.com/2018/01/fintech-funding-round-up-23-january-2018/;http://www.bankingtech.com/2018/01/fintech-funding-round-up-23-january-2018/;OK
92;785918381;20180910;2018;http://www.en.netralnews.com/news/business/read/24175/govt.partners.with.two.national.marketplaces.to.boost.indonesian.exports;http://www.en.netralnews.com/news/business/read/24175/govt.partners.with.two.national.marketplaces.to.boost.indonesian.exports;OK
175;770916157;20180710;2018;http://www.gulf-times.com/story/599050/A-new-term-is-born-Shariah-fintech-and-it-has-quit;;OK
17;794276788;20181013;2018;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/alibabas-jack-ma-to-open-institute-for-tech-entrepreneurs-in-indonesia/articleshow/66193099.cms;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/alibabas-jack-ma-to-open-institute-for-tech-entrepreneurs-in-indonesia/articleshow/66193099.cms;OK
10;795776971;20180919;2018;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/faasos-in-talks-to-raise-100-million-for-expansion/articleshow/66280493.cms;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/faasos-in-talks-to-raise-100-million-for-expansion/articleshow/66280493.cms;OK
375;726305131;20180129;2018;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/google-says-invests-in-indonesian-ride-hailing-firm-go-jek/articleshow/62690817.cms;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/google-says-invests-in-indonesian-ride-hailing-firm-go-jek/articleshow/62690817.cms;OK
156;775115571;20180727;2018;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/ride-hailing-firm-grab-hits-back-in-uber-takeover-row/articleshow/65163091.cms;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/ride-hailing-firm-grab-hits-back-in-uber-takeover-row/articleshow/65163091.cms;OK
234;759819085;20180522;2018;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/ubers-exit-from-sounteast-asia-upsets-regulators-and-drivers/articleshow/64363937.cms;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/ubers-exit-from-sounteast-asia-upsets-regulators-and-drivers/articleshow/64363937.cms;OK
100;784607887;20180905;2018;https://english.vietnamnet.vn/fms/business/207956/fintech-primed-to-boost-financial-services-sector-in-vietnam.html;https://english.vietnamnet.vn/fms/business/207956/fintech-primed-to-boost-financial-services-sector-in-vietnam.html;OK
183;768164766;20180629;2018;https://www.finanzen.ch/nachrichten/aktien/CEO-SUITE-Unveils-the-First-Ever-Collaboration-with-Accelerator-to-Help-Local-Startups-Going-Global-1027329705;https://www.finanzen.ch/nachrichten/aktien/CEO-SUITE-Unveils-the-First-Ever-Collaboration-with-Accelerator-to-Help-Local-Startups-Going-Global-1027329705;OK
307;742160946;20180326;2018;https://www.opengovasia.com/articles/australia-and-uk-set-up-fintech-bridge-to-deepen-collaboration-between-governments-regulators-and-industry-bodies;;OK
224;761694582;20180605;2018;https://www.opengovasia.com/articles/indonesia-to-produce-talents-with-coding-knowledge-through-the-del-arrbey-coding-and-start-up-academy;;OK
77;786997689;20180914;2018;https://www.opengovasia.com/indonesia-furthers-e-commerce-and-innovation/;;OK
329;736669068;20180307;2018;https://www.prnewswire.com/news-releases/nuctech-participates-at-the-1st-global-cross-border-e-commerce-conference-300609935.html;https://www.prnewswire.com/news-releases/nuctech-participates-at-the-1st-global-cross-border-e-commerce-conference-300609935.html;OK
339;735066750;20180301;2018;https://www.prnewswire.com/news-releases/smartag-international-signs-agreement-to-provide-fintech-solutions-to-rural-indonesia-300606773.html;https://www.prnewswire.com/news-releases/smartag-international-signs-agreement-to-provide-fintech-solutions-to-rural-indonesia-300606773.html;OK
128;782319837;20180827;2018;https://www.thepaypers.com/mobile-payments/jd-com-allegedly-invests-in-indonesia-based-startup-go-jek/774551-16;;OK
