Column1;GLOBALEVENTID;SQLDATE;Year;SOURCEURL;ARTICLEURL;Status
350;732482164;20180220;2018;http://sglinks.com/pages/110117536-tech-in-asia-connecting-asias-startup-ecosystem;;404
302;742227202;20180327;2018;http://sglinks.com/pages/111797193-tech-in-asia-connecting-asias-startup-ecosystem;;404
162;774333479;20180724;2018;http://sglinks.com/pages/116649609-tech-in-asia-connecting-asias-startup-ecosystem;;404
394;721502576;20180111;2018;http://sglinks.com/startups/pages/108124290-human-resource-officer-job-at-dploy-asia-indonesia-startup;;404
390;722354235;20180115;2018;http://sglinks.com/startups/pages/108315380-cryptocurrency-research-intern-job-at-blackwilder-malaysia;;404
368;728968043;20180207;2018;http://sglinks.com/startups/pages/109509144-react-native-developer-f-and-b-saas-startup-hong-kong-job-at;;404
321;738282483;20180313;2018;http://sglinks.com/startups/pages/111056194-full-stack-developer-job-at-dploy-asia-indonesia-startup;;404
311;741328889;20180323;2018;http://sglinks.com/startups/pages/111615732-looking-for-developer-python-and-django-as-soon-as-possible;;404
309;741842844;20180325;2018;http://sglinks.com/startups/pages/111723280-looking-for-developer-python-and-django-as-soon-as-possible;;404
299;743781222;20180401;2018;http://sglinks.com/startups/pages/112068154-commission-based-software-sales-job-at-regit-singapore;;404
297;743893417;20180402;2018;http://sglinks.com/startups/pages/112084500-fullstack-developer-to-work-with-singapore-educational-based;;404
298;743949459;20180402;2018;http://sglinks.com/startups/pages/112096475-visual-basic-net-developer-job-at-dploy-asia-indonesia;;404
294;744466213;20180404;2018;http://sglinks.com/startups/pages/112189189-full-stack-developer-react-native-nodejs-job-at-dploy-asia;;404
295;744466216;20180404;2018;http://sglinks.com/startups/pages/112189259-javascript-developer-fresh-graduate-are-welcome-job-at-dploy;;404
211;764553459;20180615;2018;http://sglinks.com/startups/pages/115345973-freelance-travel-writers-job-at-ithaka-indonesia-startup;;404
190;766938628;20180625;2018;http://sglinks.com/startups/pages/115675976-full-stack-developer-job-at-pt-kreatifitas-sinergisme;;404
184;768277619;20180629;2018;http://sglinks.com/startups/pages/115837497-investor-relations-manager-director-job-at-caproasia;;404
182;768998481;20180703;2018;http://sglinks.com/startups/pages/115889977-devops-engineer-job-at-helpster-indonesia-indonesia-startup;;404
163;774019331;20180723;2018;http://sglinks.com/startups/pages/116605809-android-mobile-apps-developer-job-at-dploy-asia-indonesia;;404
126;782286669;20180827;2018;http://sglinks.com/startups/pages/118016605-golang-developer-for-back-end-server-job-at-dploy-asia;;404
202;765085018;20180618;2018;http://www.infotechlead.com/ecommerce/google-invests-550-mn-in-china-based-e-commerce-co-jd-com-55147;http://www.infotechlead.com/ecommerce/google-invests-550-mn-in-china-based-e-commerce-co-jd-com-55147;UNRELATED
138;778430938;20180810;2018;http://www.oann.com/adopt-a-unicorn-indonesia-eyes-plan-to-help-startups-expand-across-southeast-asia-2/;http://www.oann.com/adopt-a-unicorn-indonesia-eyes-plan-to-help-startups-expand-across-southeast-asia-2/;404
226;761773520;20180605;2018;http://www.theedgemarkets.com/article/indonesian-media-applauds-malaysian-crowdfunding-response;http://www.theedgemarkets.com/article/indonesian-media-applauds-malaysian-crowdfunding-response;BLOCKED
383;724381029;20180122;2018;http://www.thepresidentpost.com/2018/01/22/triponyu-solo-tour-marketplace-offers-local-solutions/;http://www.thepresidentpost.com/2018/01/22/triponyu-solo-tour-marketplace-offers-local-solutions/;404
349;732363557;20180220;2018;http://www.thepresidentpost.com/2018/02/20/garuda-cooperates-jd-id-expand-e-commerce-business/;http://www.thepresidentpost.com/2018/02/20/garuda-cooperates-jd-id-expand-e-commerce-business/;404
328;736941228;20180308;2018;http://www.thepresidentpost.com/2018/03/08/to-encourage-local-products-entering-marketplace-government-prepares-special-platform-for-msmes/;http://www.thepresidentpost.com/2018/03/08/to-encourage-local-products-entering-marketplace-government-prepares-special-platform-for-msmes/;404
236;759607298;20180528;2018;https://inc42.com/buzz/startup-events-27/;https://inc42.com/buzz/startup-events-27/;UNRELATED
389;722670373;20180116;2018;https://www.chinamoneynetwork.com/2018/01/16/chinas-jd-com-co-leads-new-funding-round-vietnams-e-commerce-platform-tiki;https://www.chinamoneynetwork.com/2018/01/16/chinas-jd-com-co-leads-new-funding-round-vietnams-e-commerce-platform-tiki;BLOCKED
315;739945707;20180319;2018;https://www.chinamoneynetwork.com/2018/03/19/alibaba-injects-2b-southeast-asian-lazada-accelerate-e-commerce-southeast-asia;https://www.chinamoneynetwork.com/2018/03/19/alibaba-injects-2b-southeast-asian-lazada-accelerate-e-commerce-southeast-asia;BLOCKED
165;772826610;20180718;2018;https://www.chinamoneynetwork.com/2018/07/18/chinese-fintech-start-up-advance-ai-raises-50m-series-b-round;https://www.chinamoneynetwork.com/2018/07/18/chinese-fintech-start-up-advance-ai-raises-50m-series-b-round;BLOCKED
241;755664641;20180514;2018;https://www.nytimes.com/reuters/2018/05/13/business/13reuters-singapore-startups-fundraising.html;https://www.nytimes.com/reuters/2018/05/13/business/13reuters-singapore-startups-fundraising.html;404
103;784110183;20180903;2018;https://www.opengovasia.com/article/the-role-of-e-commerce-in-indonesias-digital-economy;https://www.opengovasia.com/article/the-role-of-e-commerce-in-indonesias-digital-economy;404
