;GLOBALEVENTID;SQLDATE;Year;SOURCEURL;ARTICLEURL
63;788376323;20180919;2018;http://news.asiaone.com/singapore/agency-sold-maids-online-marketplace-carousell-suspended;http://news.asiaone.com/singapore/agency-sold-maids-online-marketplace-carousell-suspended
100;784607887;20180905;2018;https://english.vietnamnet.vn/fms/business/207956/fintech-primed-to-boost-financial-services-sector-in-vietnam.html;https://english.vietnamnet.vn/fms/business/207956/fintech-primed-to-boost-financial-services-sector-in-vietnam.html
103;784110183;20180903;2018;https://www.opengovasia.com/article/the-role-of-e-commerce-in-indonesias-digital-economy;https://www.opengovasia.com/article/the-role-of-e-commerce-in-indonesias-digital-economy
138;778430938;20180810;2018;http://www.oann.com/adopt-a-unicorn-indonesia-eyes-plan-to-help-startups-expand-across-southeast-asia-2/;http://www.oann.com/adopt-a-unicorn-indonesia-eyes-plan-to-help-startups-expand-across-southeast-asia-2/
156;775115571;20180727;2018;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/ride-hailing-firm-grab-hits-back-in-uber-takeover-row/articleshow/65163091.cms;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/ride-hailing-firm-grab-hits-back-in-uber-takeover-row/articleshow/65163091.cms
165;772826610;20180718;2018;https://www.chinamoneynetwork.com/2018/07/18/chinese-fintech-start-up-advance-ai-raises-50m-series-b-round;https://www.chinamoneynetwork.com/2018/07/18/chinese-fintech-start-up-advance-ai-raises-50m-series-b-round
226;761773520;20180605;2018;http://www.theedgemarkets.com/article/indonesian-media-applauds-malaysian-crowdfunding-response;http://www.theedgemarkets.com/article/indonesian-media-applauds-malaysian-crowdfunding-response
234;759819085;20180522;2018;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/ubers-exit-from-sounteast-asia-upsets-regulators-and-drivers/articleshow/64363937.cms;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/ubers-exit-from-sounteast-asia-upsets-regulators-and-drivers/articleshow/64363937.cms
241;755664641;20180514;2018;https://www.nytimes.com/reuters/2018/05/13/business/13reuters-singapore-startups-fundraising.html;https://www.nytimes.com/reuters/2018/05/13/business/13reuters-singapore-startups-fundraising.html
287;745580420;20180408;2018;https://som.yale.edu/news/2018/04/startup-saves-lives-by-ridding-african-market-of-counterfeit-drugs;https://som.yale.edu/news/2018/04/startup-saves-lives-by-ridding-african-market-of-counterfeit-drugs
315;739945707;20180319;2018;https://www.chinamoneynetwork.com/2018/03/19/alibaba-injects-2b-southeast-asian-lazada-accelerate-e-commerce-southeast-asia;https://www.chinamoneynetwork.com/2018/03/19/alibaba-injects-2b-southeast-asian-lazada-accelerate-e-commerce-southeast-asia
324;737700825;20180311;2018;http://www.en.netralnews.com/news/currentnews/read/19166/holding.startup.nation.summit..surabaya.set.to.become.first.creative.city.in.indonesia;http://www.en.netralnews.com/news/currentnews/read/19166/holding.startup.nation.summit..surabaya.set.to.become.first.creative.city.in.indonesia
326;737221020;20180309;2018;http://sea-globe.com/why-banks-and-fintech-startups-are-naturally-interdependent/;http://sea-globe.com/why-banks-and-fintech-startups-are-naturally-interdependent/
328;736941228;20180308;2018;http://www.thepresidentpost.com/2018/03/08/to-encourage-local-products-entering-marketplace-government-prepares-special-platform-for-msmes/;http://www.thepresidentpost.com/2018/03/08/to-encourage-local-products-entering-marketplace-government-prepares-special-platform-for-msmes/
329;736669068;20180307;2018;https://www.prnewswire.com/news-releases/nuctech-participates-at-the-1st-global-cross-border-e-commerce-conference-300609935.html;https://www.prnewswire.com/news-releases/nuctech-participates-at-the-1st-global-cross-border-e-commerce-conference-300609935.html
349;732363557;20180220;2018;http://www.thepresidentpost.com/2018/02/20/garuda-cooperates-jd-id-expand-e-commerce-business/;http://www.thepresidentpost.com/2018/02/20/garuda-cooperates-jd-id-expand-e-commerce-business/
375;726305131;20180129;2018;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/google-says-invests-in-indonesian-ride-hailing-firm-go-jek/articleshow/62690817.cms;https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/google-says-invests-in-indonesian-ride-hailing-firm-go-jek/articleshow/62690817.cms
383;724381029;20180122;2018;http://www.thepresidentpost.com/2018/01/22/triponyu-solo-tour-marketplace-offers-local-solutions/;http://www.thepresidentpost.com/2018/01/22/triponyu-solo-tour-marketplace-offers-local-solutions/
389;722670373;20180116;2018;https://www.chinamoneynetwork.com/2018/01/16/chinas-jd-com-co-leads-new-funding-round-vietnams-e-commerce-platform-tiki;https://www.chinamoneynetwork.com/2018/01/16/chinas-jd-com-co-leads-new-funding-round-vietnams-e-commerce-platform-tiki
77;786997689;20180914;2018;https://www.opengovasia.com/indonesia-furthers-e-commerce-and-innovation/;
126;782286669;20180827;2018;http://sglinks.com/startups/pages/118016605-golang-developer-for-back-end-server-job-at-dploy-asia;
128;782319837;20180827;2018;https://www.thepaypers.com/mobile-payments/jd-com-allegedly-invests-in-indonesia-based-startup-go-jek/774551-16;
162;774333479;20180724;2018;http://sglinks.com/pages/116649609-tech-in-asia-connecting-asias-startup-ecosystem;
163;774019331;20180723;2018;http://sglinks.com/startups/pages/116605809-android-mobile-apps-developer-job-at-dploy-asia-indonesia;
175;770916157;20180710;2018;http://www.gulf-times.com/story/599050/A-new-term-is-born-Shariah-fintech-and-it-has-quit;
182;768998481;20180703;2018;http://sglinks.com/startups/pages/115889977-devops-engineer-job-at-helpster-indonesia-indonesia-startup;
184;768277619;20180629;2018;http://sglinks.com/startups/pages/115837497-investor-relations-manager-director-job-at-caproasia;
190;766938628;20180625;2018;http://sglinks.com/startups/pages/115675976-full-stack-developer-job-at-pt-kreatifitas-sinergisme;
211;764553459;20180615;2018;http://sglinks.com/startups/pages/115345973-freelance-travel-writers-job-at-ithaka-indonesia-startup;
224;761694582;20180605;2018;https://www.opengovasia.com/articles/indonesia-to-produce-talents-with-coding-knowledge-through-the-del-arrbey-coding-and-start-up-academy;
294;744466213;20180404;2018;http://sglinks.com/startups/pages/112189189-full-stack-developer-react-native-nodejs-job-at-dploy-asia;
295;744466216;20180404;2018;http://sglinks.com/startups/pages/112189259-javascript-developer-fresh-graduate-are-welcome-job-at-dploy;
297;743893417;20180402;2018;http://sglinks.com/startups/pages/112084500-fullstack-developer-to-work-with-singapore-educational-based;
298;743949459;20180402;2018;http://sglinks.com/startups/pages/112096475-visual-basic-net-developer-job-at-dploy-asia-indonesia;
299;743781222;20180401;2018;http://sglinks.com/startups/pages/112068154-commission-based-software-sales-job-at-regit-singapore;
302;742227202;20180327;2018;http://sglinks.com/pages/111797193-tech-in-asia-connecting-asias-startup-ecosystem;
307;742160946;20180326;2018;https://www.opengovasia.com/articles/australia-and-uk-set-up-fintech-bridge-to-deepen-collaboration-between-governments-regulators-and-industry-bodies;
309;741842844;20180325;2018;http://sglinks.com/startups/pages/111723280-looking-for-developer-python-and-django-as-soon-as-possible;
311;741328889;20180323;2018;http://sglinks.com/startups/pages/111615732-looking-for-developer-python-and-django-as-soon-as-possible;
321;738282483;20180313;2018;http://sglinks.com/startups/pages/111056194-full-stack-developer-job-at-dploy-asia-indonesia-startup;
350;732482164;20180220;2018;http://sglinks.com/pages/110117536-tech-in-asia-connecting-asias-startup-ecosystem;
368;728968043;20180207;2018;http://sglinks.com/startups/pages/109509144-react-native-developer-f-and-b-saas-startup-hong-kong-job-at;
390;722354235;20180115;2018;http://sglinks.com/startups/pages/108315380-cryptocurrency-research-intern-job-at-blackwilder-malaysia;
394;721502576;20180111;2018;http://sglinks.com/startups/pages/108124290-human-resource-officer-job-at-dploy-asia-indonesia-startup;
77;786997689;20180914;2018;https://www.opengovasia.com/indonesia-furthers-e-commerce-and-innovation/;
126;782286669;20180827;2018;http://sglinks.com/startups/pages/118016605-golang-developer-for-back-end-server-job-at-dploy-asia;
128;782319837;20180827;2018;https://www.thepaypers.com/mobile-payments/jd-com-allegedly-invests-in-indonesia-based-startup-go-jek/774551-16;
162;774333479;20180724;2018;http://sglinks.com/pages/116649609-tech-in-asia-connecting-asias-startup-ecosystem;
163;774019331;20180723;2018;http://sglinks.com/startups/pages/116605809-android-mobile-apps-developer-job-at-dploy-asia-indonesia;
175;770916157;20180710;2018;http://www.gulf-times.com/story/599050/A-new-term-is-born-Shariah-fintech-and-it-has-quit;
182;768998481;20180703;2018;http://sglinks.com/startups/pages/115889977-devops-engineer-job-at-helpster-indonesia-indonesia-startup;
184;768277619;20180629;2018;http://sglinks.com/startups/pages/115837497-investor-relations-manager-director-job-at-caproasia;
190;766938628;20180625;2018;http://sglinks.com/startups/pages/115675976-full-stack-developer-job-at-pt-kreatifitas-sinergisme;
211;764553459;20180615;2018;http://sglinks.com/startups/pages/115345973-freelance-travel-writers-job-at-ithaka-indonesia-startup;
224;761694582;20180605;2018;https://www.opengovasia.com/articles/indonesia-to-produce-talents-with-coding-knowledge-through-the-del-arrbey-coding-and-start-up-academy;
294;744466213;20180404;2018;http://sglinks.com/startups/pages/112189189-full-stack-developer-react-native-nodejs-job-at-dploy-asia;
295;744466216;20180404;2018;http://sglinks.com/startups/pages/112189259-javascript-developer-fresh-graduate-are-welcome-job-at-dploy;
297;743893417;20180402;2018;http://sglinks.com/startups/pages/112084500-fullstack-developer-to-work-with-singapore-educational-based;
298;743949459;20180402;2018;http://sglinks.com/startups/pages/112096475-visual-basic-net-developer-job-at-dploy-asia-indonesia;
299;743781222;20180401;2018;http://sglinks.com/startups/pages/112068154-commission-based-software-sales-job-at-regit-singapore;
302;742227202;20180327;2018;http://sglinks.com/pages/111797193-tech-in-asia-connecting-asias-startup-ecosystem;
307;742160946;20180326;2018;https://www.opengovasia.com/articles/australia-and-uk-set-up-fintech-bridge-to-deepen-collaboration-between-governments-regulators-and-industry-bodies;
309;741842844;20180325;2018;http://sglinks.com/startups/pages/111723280-looking-for-developer-python-and-django-as-soon-as-possible;
311;741328889;20180323;2018;http://sglinks.com/startups/pages/111615732-looking-for-developer-python-and-django-as-soon-as-possible;
321;738282483;20180313;2018;http://sglinks.com/startups/pages/111056194-full-stack-developer-job-at-dploy-asia-indonesia-startup;
350;732482164;20180220;2018;http://sglinks.com/pages/110117536-tech-in-asia-connecting-asias-startup-ecosystem;
368;728968043;20180207;2018;http://sglinks.com/startups/pages/109509144-react-native-developer-f-and-b-saas-startup-hong-kong-job-at;
390;722354235;20180115;2018;http://sglinks.com/startups/pages/108315380-cryptocurrency-research-intern-job-at-blackwilder-malaysia;
394;721502576;20180111;2018;http://sglinks.com/startups/pages/108124290-human-resource-officer-job-at-dploy-asia-indonesia-startup;
